id,name,normalised_name,density
581,plain flour,plain flour,0.528345
582,double cream,double cream,1.014422
583,milk,milk,1.014422
584,yoghurt,yoghurt,1.014422
585,honey,honey,1.479365
586,icing sugar,icing sugar,0.570612
587,sour cream,sour cream,1.014422
588,cornflour,cornflour,0.612880
589,chopped onion,chopped onion,0.612880
590,maple syrup,maple syrup,1.479365
591,grated parmesan,grated parmesan,0.359274
592,sliced onion,sliced onion,0.612880
593,tahini,tahini,1.056689
594,vegetable oil,vegetable oil,0.908753
595,sliced spring onion,sliced spring onion,0.380408
596,chopped parsley,chopped parsley,0.147936
597,vegetable stock,vegetable stock,0.997515
598,ground turmeric,ground turmeric,0.541025
599,chopped coriander,chopped coriander,0.147936
600,ground almond,ground almond,0.549478
601,long grain rice,long grain rice,0.845351
602,tomato paste,tomato paste,1.098957
603,sesame seed,sesame seed,0.634014
604,coconut milk,coconut milk,1.014422
605,cocoa powder,cocoa powder,0.401542
606,demerara sugar,demerara sugar,0.845351
607,cream cheese,cream cheese,1.014422
608,chopped tomato,chopped tomato,0.760816
609,brown sugar,brown sugar,0.781950
610,desiccated coconut,desiccated coconut,0.211338
611,crushed garlic,crushed garlic,0.549478
612,cherry tomato,cherry tomato,0.760816
613,grated cheddar,grated cheddar,0.422676
614,mascarpone,mascarpone,1.014422
615,sesame oil,sesame oil,0.908753
616,ground ginger,ground ginger,0.541025
617,minced garlic,minced garlic,0.549478
618,raisin,raisin,0.612880
619,coriander,coriander,0.063401
620,chopped chive,chopped chive,0.147936
621,rolled oat,rolled oat,0.380408
622,granulated sugar,granulated sugar,0.845351
623,panko breadcrumb,panko breadcrumb,0.359274
624,chopped shallot,chopped shallot,0.464943
625,cumin seed,cumin seed,0.591746
626,turmeric,turmeric,0.541025
627,feta,feta,0.549478
628,peanut butter,peanut butter,1.056689
629,fennel seed,fennel seed,0.591746
630,raspberry,raspberry,0.570612
631,extra virgin olive oil,extra virgin olive oil,0.908753
632,strong white bread flour,strong white bread flour,0.528345
633,chickpea,chickpea,0.845351
634,sultana,sultana,0.612880
635,polenta,polenta,0.739682
636,sliced garlic,sliced garlic,0.549478
637,tomato,tomato,0.760816
638,harissa,harissa,1.098957
639,00 flour,00 flour,0.528345
640,mustard,mustard,1.014422
641,currant,currant,0.612880
642,basil,basil,0.063401
643,parsley,parsley,0.147936
644,groundnut oil,groundnut oil,0.908753
645,single cream,single cream,1.014422
